array size,time,mflops
256, 0.004152, 12331.745139 
384, 0.006082, 12626.982975 
512, 0.008125, 12602.822540 
640, 0.009873, 12964.559149 
1024, 0.016728, 12242.692732 
1280, 0.024746, 10345.057368 
1792, 0.047921, 7478.982213 
2560, 0.074698, 6854.225956 
3584, 0.104380, 6867.205415 
5120, 0.148947, 6874.940944 
7168, 0.217812, 6581.829655 
10112, 0.296552, 6819.715851 
12800, 0.420794, 6083.738381 
18048, 0.820734, 4398.016941 
25600, 1.308930, 3911.590955 
36096, 1.931987, 3736.670193 
50944, 2.720739, 3744.865059 
71936, 3.882421, 3705.729285 
101632, 5.976762, 3400.905214 
128000, 8.751780, 2925.119344 
180864, 21.401817, 1690.174228 
255360, 34.828414, 1466.388921 
360704, 57.503263, 1254.551423 
509568, 85.018308, 1198.725337 
719744, 124.842047, 1153.047421 
1016704, 184.294500, 1103.347091 
1280000, 234.953584, 1089.576912 
1808000, 343.170976, 1053.702165 
2553984, 489.670774, 1043.143326 
3607552, 694.675758, 1038.629017 
5095808, 991.980392, 1027.400953 
7197952, 1428.629009, 1007.672665 
10167424, 1967.675355, 1033.445276 
